trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-107.5351754221735,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-40.000994856549376,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-192.4186992505363,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-98.53066644139628,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,8,-51.08964670993789,"{0: 7, 1: 2, 2: 1, 3: 2, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-60.452604501777934,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,14,-50.45057274579871,"{0: 5, 1: 0, 2: 6, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-50.678797628288656,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-71.25737727660568,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-99.63083707926619,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-164.75002709233493,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,15,27.791871445964947,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-82.07618739399526,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-67.79194908891985,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,10,-5.909087399617901,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,9,8.870353328444542,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,25.55583884275671,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",35,0,-7.700835549915839,"{0: 32, 1: 0, 2: 1, 3: 2, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,13,26.238132355984625,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,7,-21.636253737227868,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,0,30.89696729324567,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,28.548334507621423,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,13,6.92903732254902,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,6,-18.879767568576472,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",25,0,-14.770152020140586,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,23.252896133461455,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,3,22.819002083384643,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,-52.77107681776683,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",30,0,-7.818417514703135,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,11,17.019855456078748,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
