trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",25,0,-179.66953725056246,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-24.530605342606393,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",30,0,-230.03624926500635,"{0: 14, 1: 3, 2: 9, 3: 1, 4: 3}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-74.93957179339506,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-55.6106127098098,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-112.32713994030989,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,0,-53.41911935196921,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-126.83654091713417,"{0: 11, 1: 5, 2: 1, 3: 1, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-110.16839607627566,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",25,0,-54.007333789709705,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-144.05999125096596,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-119.00997384114515,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",25,14,-48.59710540170421,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,0,-63.37090702985947,"{0: 18, 1: 0, 2: 5, 3: 2, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-56.81645226627281,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-135.43022424097705,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-225.3278107380691,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 4}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,0,-144.49855242039533,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-72.53632794675005,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,0,-79.5342475191218,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
