trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-221.76385683776687,"{0: 11, 1: 1, 2: 9, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.21009401492165,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-168.22532771690106,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.4662460377807,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.4467905694245,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.43738543840962,"{0: 11, 1: 4, 2: 1, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,10,-95.29629745632704,"{0: 6, 1: 1, 2: 6, 3: 2, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",35,0,-210.63139412143943,"{0: 21, 1: 3, 2: 6, 3: 2, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.79648338420532,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-163.23698327608705,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-27.58067119975163,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.42243467376571,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-31.45912586156482,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.47923796407022,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.45122598027886,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,6,-70.08132724668921,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.2667489971248,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.7812335268654,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.531972440108746,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-219.02648631251643,"{0: 15, 1: 2, 2: 10, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-156.3796980212796,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-130.66328553537858,"{0: 14, 1: 4, 2: 3, 3: 3, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.28649106306166,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-151.41481861656294,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-147.3607821673122,"{0: 14, 1: 4, 2: 9, 3: 3, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,9,-13.806546418604135,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-213.82567871361496,"{0: 20, 1: 1, 2: 3, 3: 2, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-122.73318441345084,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-127.13352413865357,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-103.93138463278625,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
